periodo,cole_area_ubicacion,cole_bilingue,cole_caracter,cole_cod_mcpio_ubicacion,cole_jornada,cole_mcpio_ubicacion,cole_naturaleza,cole_nombre_establecimiento,estu_privado_libertad,punt_ingles,punt_matematicas,punt_sociales_ciudadanas,punt_c_naturales,punt_lectura_critica,punt_global
20162,URBANO,N,TÉCNICO/ACADÉMICO,15238,MAÑANA,DUITAMA,OFICIAL,COLEGIO GUILLERMO LEON VALENCIA,N,61.0,59.0,63.0,57.0,56.0,295.0
20142,RURAL,N,TÉCNICO/ACADÉMICO,15759,MAÑANA,SOGAMOSO,OFICIAL,INSTITUCION EDUCATIVA LA INDEPENDENCIA,N,52.0,55.0,54.0,60.0,54.0,277.0
20152,URBANO,N,TÉCNICO,15835,COMPLETA,TURMEQUE,OFICIAL,I.E. TECNICA INDUSTRIAL,N,55.0,52.0,50.0,53.0,47.0,254.0
20172,URBANO,N,TÉCNICO/ACADÉMICO,15176,MAÑANA,CHIQUINQUIRA,OFICIAL,I.E. TECNICA PIO ALBERTO FERRO PEÑA,N,59.0,58.0,46.0,51.0,45.0,253.0
20172,URBANO,N,TÉCNICO/ACADÉMICO,15759,MAÑANA,SOGAMOSO,NO OFICIAL,COLEGIO COOPERATIVO REYES PATRIA,N,75.0,66.0,70.0,65.0,64.0,335.0
20152,URBANO,N,ACADÉMICO,15759,COMPLETA,SOGAMOSO,NO OFICIAL,LICEO DE LA PRESENTACION,N,70.0,65.0,43.0,56.0,53.0,277.0
20194,RURAL,N,TÉCNICO/ACADÉMICO,15806,COMPLETA,TIBASOSA,OFICIAL,IE TECNICO INDUSTRIAL,N,54.0,72.0,57.0,57.0,59.0,303.0
20172,RURAL,N,ACADÉMICO,15837,COMPLETA,TUTA,OFICIAL,IE RIO DE PIEDRAS,N,59.0,43.0,40.0,55.0,39.0,227.0
20194,URBANO,N,TÉCNICO/ACADÉMICO,15001,MAÑANA,TUNJA,OFICIAL,ESCUELA NORMAL SUPERIOR SANTIAGO DE TUNJA,N,51.0,50.0,54.0,50.0,52.0,257.0
20172,URBANO,N,ACADÉMICO,15759,MAÑANA,SOGAMOSO,NO OFICIAL,COLEGIO DE EDUCACION FORMAL FLEXIBLE SAN MATEO,N,39.0,51.0,43.0,56.0,47.0,242.0
20152,RURAL,S,ACADÉMICO,15204,COMPLETA,COMBITA,NO OFICIAL,COUNTRY BILINGUAL SCHOOL,N,80.0,58.0,68.0,52.0,56.0,301.0
20172,RURAL,NO REPORTADO,ACADÉMICO,15842,COMPLETA,UMBITA,OFICIAL,IE DIVINO NIÑO,N,51.0,51.0,46.0,55.0,54.0,257.0
20162,URBANO,N,TÉCNICO/ACADÉMICO,15001,MAÑANA,TUNJA,OFICIAL,I.E ANTONIO JOSE SANDOVAL GOMEZ,N,60.0,62.0,64.0,63.0,58.0,308.0
20172,URBANO,N,ACADÉMICO,15572,TARDE,PUERTO BOYACA,OFICIAL,IE JOSE ANTONIO GALAN,N,41.0,52.0,55.0,57.0,59.0,273.0
20152,URBANO,N,TÉCNICO/ACADÉMICO,15189,COMPLETA,CIENEGA,OFICIAL,I.E. JOSE CAYETANO VASQUEZ,N,59.0,57.0,63.0,57.0,52.0,287.0
20142,URBANO,NO REPORTADO,ACADÉMICO,15407,COMPLETA,VILLA DE LEYVA,NO OFICIAL,GIMNASIO CAMPESTRE SANTO DOMINGO,N,53.0,53.0,47.0,50.0,55.0,257.0
20172,URBANO,N,TÉCNICO,15185,MAÑANA,CHITARAQUE,OFICIAL,I.E. SAN PEDRO CLAVER,N,33.0,25.0,34.0,36.0,35.0,163.0
20162,URBANO,N,ACADÉMICO,15109,COMPLETA,BUENAVISTA,OFICIAL,I.E. JOSE MARIA SILVA SALAZAR,N,53.0,58.0,52.0,48.0,44.0,254.0
20142,URBANO,N,TÉCNICO/ACADÉMICO,15238,COMPLETA,DUITAMA,OFICIAL,COLEGIO TECNICO MUNICIPAL SIMON BOLIVAR,N,53.0,43.0,50.0,45.0,58.0,247.0
20172,URBANO,N,TÉCNICO,15832,MAÑANA,TUNUNGUA,OFICIAL,IE LUIS GUILLERMO ROJAS BARRERA,N,53.0,44.0,47.0,45.0,34.0,217.0
20142,URBANO,N,ACADÉMICO,15001,SABATINA,TUNJA,NO OFICIAL,COLEGIO DE EDUCACION FORMAL FLEXIBLE SAN MATEO,N,48.0,47.0,45.0,52.0,48.0,240.0
20194,URBANO,N,TÉCNICO,15236,UNICA,CHIVOR,OFICIAL,I.E.T. AGROPECUARIO LA ESMERALDA,N,50.0,35.0,33.0,40.0,45.0,196.0
20172,URBANO,NO REPORTADO,ACADÉMICO,15001,MAÑANA,TUNJA,NO OFICIAL,COLEGIO INTEGRAL DE LOS ANDES,N,40.0,41.0,39.0,46.0,48.0,216.0
20162,URBANO,N,TÉCNICO/ACADÉMICO,15183,COMPLETA,CHITA,OFICIAL,I.E. NORMAL SUPERIOR SAGRADO CORAZON,N,57.0,59.0,63.0,66.0,61.0,310.0
20172,URBANO,N,TÉCNICO/ACADÉMICO,15759,MAÑANA,SOGAMOSO,OFICIAL,INSTITUCION EDUCATIVA COLEGIO DE SUGAMUXI,N,55.0,51.0,59.0,58.0,62.0,287.0
20162,URBANO,NO REPORTADO,ACADÉMICO,15001,MAÑANA,TUNJA,NO OFICIAL,INSTITUCION EDUCATIVA URIBESCO,N,41.0,68.0,59.0,65.0,60.0,306.0
20152,URBANO,NO REPORTADO,TÉCNICO,15001,COMPLETA,TUNJA,OFICIAL,INSTITUCION EDUCATIVA SAN JERONIMO EMILIANI,N,68.0,68.0,65.0,70.0,63.0,333.0
20142,URBANO,NO REPORTADO,ACADÉMICO,15238,COMPLETA,DUITAMA,OFICIAL,INSTITUTO TECNICO NUEVA FAMILIA.,N,58.0,55.0,60.0,60.0,54.0,287.0
20142,URBANO,N,TÉCNICO/ACADÉMICO,15097,COMPLETA,BOAVITA,OFICIAL,I.E. TECNICA Y ACADEMICA NUESTRA SEÑORA DEL ROSARIO,N,49.0,39.0,49.0,51.0,45.0,231.0
20172,URBANO,N,TÉCNICO/ACADÉMICO,15759,MAÑANA,SOGAMOSO,OFICIAL,INSTITUCION EDUCATIVA COLEGIO DE SUGAMUXI,N,41.0,58.0,53.0,47.0,56.0,263.0
20142,RURAL,N,TÉCNICO/ACADÉMICO,15759,TARDE,SOGAMOSO,OFICIAL,INSTIUCION EDUCATIVA NUESTRA SEÑORA DE MORCA,N,60.0,81.0,73.0,79.0,51.0,351.0
20162,URBANO,N,TÉCNICO/ACADÉMICO,15491,MAÑANA,NOBSA,OFICIAL,I.E. TECNICA DE NOBSA,N,47.0,44.0,51.0,54.0,57.0,256.0
20194,URBANO,N,TÉCNICO/ACADÉMICO,15759,MAÑANA,SOGAMOSO,OFICIAL,INSTITUCION EDUCATIVA TECNICO INDUSTRIAL GUSTAVO JIMENEZ,N,59.0,56.0,56.0,58.0,61.0,289.0
20172,URBANO,N,ACADÉMICO,15176,TARDE,CHIQUINQUIRA,OFICIAL,I.E. JOSE JOAQUIN CASAS,N,44.0,55.0,55.0,49.0,57.0,266.0
20172,URBANO,N,TÉCNICO/ACADÉMICO,15466,COMPLETA,MONGUI,OFICIAL,IE TECNICA DE MONGUI,N,58.0,57.0,59.0,55.0,56.0,284.0
20162,URBANO,N,TÉCNICO/ACADÉMICO,15001,MAÑANA,TUNJA,OFICIAL,INSTITUCION EDUCATIVA JULIUS SIEBER,N,47.0,43.0,34.0,46.0,44.0,210.0
20162,URBANO,N,TÉCNICO/ACADÉMICO,15759,MAÑANA,SOGAMOSO,OFICIAL,INSTITUCION EDUCATIVA POLITECNICO ALVARO GONZALEZ SANTANA,N,57.0,71.0,76.0,70.0,67.0,349.0
20194,RURAL,N,TÉCNICO,15842,COMPLETA,ÚMBITA,OFICIAL,I.E. TECNICA AGROPECUARIA,N,38.0,46.0,33.0,49.0,45.0,214.0
20172,URBANO,N,TÉCNICO,15832,MAÑANA,TUNUNGUA,OFICIAL,IE LUIS GUILLERMO ROJAS BARRERA,N,47.0,42.0,45.0,50.0,52.0,236.0
20162,URBANO,N,TÉCNICO/ACADÉMICO,15759,MAÑANA,SOGAMOSO,OFICIAL,INSTITUCION EDUCATIVA POLITECNICO ALVARO GONZALEZ SANTANA,N,64.0,71.0,63.0,63.0,63.0,324.0
20172,URBANO,N,ACADÉMICO,15001,COMPLETA,TUNJA,NO OFICIAL,GIMNASIO CAMPESTRE DEL NORTE,N,73.0,81.0,68.0,73.0,66.0,360.0
20172,URBANO,N,TÉCNICO,15001,MAÑANA,TUNJA,OFICIAL,INSTITUTO TECNICO GONZALO SUAREZ RENDON,N,59.0,65.0,62.0,66.0,64.0,319.0
20172,URBANO,N,TÉCNICO,15097,SABATINA,BOAVITA,OFICIAL,I.E. TECNICO INDUSTRIAL MARISCAL SUCRE,N,40.0,40.0,45.0,39.0,51.0,217.0
20162,URBANO,N,TÉCNICO/ACADÉMICO,15690,COMPLETA,SANTA MARIA,OFICIAL,I.E. TEC JACINTO VEGA,N,43.0,40.0,47.0,52.0,48.0,232.0
20162,RURAL,NO REPORTADO,TÉCNICO/ACADÉMICO,15001,MAÑANA,TUNJA,OFICIAL,INSTITUCION EDUCATIVA RURAL DEL SUR,N,35.0,40.0,45.0,47.0,46.0,219.0
20162,URBANO,N,ACADÉMICO,15238,MAÑANA,DUITAMA,NO OFICIAL,INST SOLUCION EDUCATIVA SOLED,N,41.0,61.0,54.0,55.0,58.0,278.0
20162,URBANO,N,TÉCNICO/ACADÉMICO,15187,MAÑANA,CHIVATA,OFICIAL,I.E. AGROPECUARIO,N,49.0,53.0,56.0,56.0,54.0,271.0
20142,URBANO,N,ACADÉMICO,15480,COMPLETA,MUZO,OFICIAL,I.E. SAN MARCOS,N,48.0,56.0,53.0,67.0,54.0,284.0
20172,URBANO,NO REPORTADO,ACADÉMICO,15238,COMPLETA,DUITAMA,NO OFICIAL,GIMNASIO MODERNO SANTA SOFIA,N,63.0,73.0,69.0,68.0,62.0,338.0
20142,URBANO,N,TÉCNICO,15879,COMPLETA,VIRACACHA,OFICIAL,I.E. TECNICA AGROPECUARIA,N,48.0,56.0,53.0,54.0,54.0,269.0
20194,URBANO,N,ACADÉMICO,15001,COMPLETA,TUNJA,OFICIAL,COLEGIO DE BOYACA,N,67.0,52.0,71.0,72.0,67.0,328.0
20142,RURAL,N,ACADÉMICO,15837,COMPLETA,TUTA,OFICIAL,IE SAN NICOLAS,N,52.0,50.0,67.0,63.0,61.0,298.0
20152,URBANO,N,TÉCNICO,15293,COMPLETA,GACHANTIVA,OFICIAL,I.E. JUAN JOSE NEIRA,N,46.0,34.0,41.0,48.0,40.0,206.0
20194,RURAL,NO REPORTADO,TÉCNICO,15442,SABATINA,MARIPÍ,OFICIAL,I.E. LA CABAÑA,N,34.0,46.0,46.0,31.0,46.0,208.0
20142,URBANO,NO REPORTADO,ACADÉMICO,15238,COMPLETA,DUITAMA,OFICIAL,INSTITUTO TECNICO NUEVA FAMILIA.,N,42.0,49.0,42.0,39.0,50.0,224.0
20142,URBANO,N,TÉCNICO/ACADÉMICO,15238,COMPLETA,DUITAMA,OFICIAL,COLEGIO TECNICO MUNICIPAL FRANCISCO DE PAULA SANTANDER,N,53.0,45.0,49.0,48.0,45.0,236.0
20172,URBANO,N,ACADÉMICO,15238,COMPLETA,DUITAMA,NO OFICIAL,COLEGIO SEMINARIO DIOCESANO,N,60.0,73.0,64.0,71.0,59.0,331.0
20172,RURAL,N,ACADÉMICO,15407,MAÑANA,VILLA DE LEYVA,OFICIAL,IE LUIS CARLOS GALAN,N,52.0,48.0,43.0,56.0,47.0,244.0
20172,URBANO,N,TÉCNICO/ACADÉMICO,15001,MAÑANA,TUNJA,OFICIAL,ESCUELA NORMAL SUPERIOR LEONOR ALVAREZ PINZON,N,42.0,52.0,47.0,60.0,60.0,269.0
20152,URBANO,N,NO APLICA,15238,SABATINA,DUITAMA,NO OFICIAL,COLEGIO NUESTRA SEÑORA DE GUADALUPE,N,41.0,42.0,54.0,48.0,53.0,243.0
20162,URBANO,N,TÉCNICO/ACADÉMICO,15322,UNICA,GUATEQUE,OFICIAL,I.E.TÉCNICA ENRIQUE OLAYA HERRERA,N,68.0,68.0,62.0,66.0,70.0,333.0
20152,URBANO,N,TÉCNICO/ACADÉMICO,15087,COMPLETA,BELEN,OFICIAL,I.E.T. CARLOS ALBERTO OLANO VALDERRAMA,N,49.0,45.0,49.0,50.0,40.0,231.0
20152,URBANO,N,TÉCNICO,15218,SABATINA,COVARACHIA,OFICIAL,I.E. SAN LUIS BELTRAN,N,44.0,33.0,40.0,36.0,40.0,189.0
20194,URBANO,N,TÉCNICO/ACADÉMICO,15516,MAÑANA,PAIPA,NO OFICIAL,I.E. ACADEMICO DE PAIPA,N,65.0,63.0,53.0,56.0,51.0,282.0
20194,URBANO,N,TÉCNICO/ACADÉMICO,15442,COMPLETA,MARIPÍ,OFICIAL,I.E. JORGE ELIECER GAITAN,N,48.0,55.0,54.0,47.0,52.0,258.0
20142,URBANO,N,ACADÉMICO,15572,TARDE,PUERTO BOYACA,OFICIAL,IE SAN PEDRO CLAVER,N,52.0,44.0,42.0,55.0,48.0,238.0
20194,URBANO,N,ACADÉMICO,15001,SABATINA,TUNJA,NO OFICIAL,CENTRO EDUCATIVO JUAN DE LA SALLE,N,51.0,45.0,51.0,45.0,51.0,241.0
20142,URBANO,N,ACADÉMICO,15572,NOCHE,PUERTO BOYACA,OFICIAL,IE SAN PEDRO CLAVER,N,45.0,35.0,43.0,45.0,44.0,210.0
20142,URBANO,N,TÉCNICO/ACADÉMICO,15762,COMPLETA,SORA,OFICIAL,IE DE SORA,N,55.0,50.0,58.0,57.0,54.0,274.0
20152,URBANO,N,TÉCNICO,15580,COMPLETA,QUIPAMA,OFICIAL,I.E. TÉCNICA NSTRA SRA DE LA PAZ,N,49.0,44.0,43.0,44.0,36.0,212.0
20162,URBANO,N,TÉCNICO/ACADÉMICO,15759,MAÑANA,SOGAMOSO,OFICIAL,INSTITUCION EDUCATIVA POLITECNICO ALVARO GONZALEZ SANTANA,N,43.0,53.0,41.0,44.0,46.0,229.0
20152,URBANO,N,ACADÉMICO,15238,MAÑANA,DUITAMA,OFICIAL,COLEGIO BOYACA DE DUITAMA,N,57.0,67.0,60.0,67.0,56.0,310.0
20162,URBANO,N,TÉCNICO/ACADÉMICO,15189,COMPLETA,CIENEGA,OFICIAL,I.E. JOSE CAYETANO VASQUEZ,N,42.0,48.0,51.0,48.0,49.0,241.0
20152,URBANO,N,TÉCNICO,15299,MAÑANA,GARAGOA,OFICIAL,I.E. MARCO AURELIO BERNAL,N,49.0,54.0,56.0,41.0,49.0,250.0
20152,URBANO,N,TÉCNICO/ACADÉMICO,15087,COMPLETA,BELEN,OFICIAL,I.E.T. CARLOS ALBERTO OLANO VALDERRAMA,N,54.0,44.0,50.0,52.0,49.0,246.0
20172,RURAL,N,TÉCNICO,15842,COMPLETA,UMBITA,OFICIAL,I.E. TECNICA AGROPECUARIA,N,47.0,50.0,45.0,55.0,54.0,253.0
20224,RURAL,N,TÉCNICO/ACADÉMICO,15516,MAÑANA,PAIPA,OFICIAL,I.E. TECNICA PANTANO DE VARGAS,N,63.0,68.0,66.0,69.0,59.0,327.0
20172,URBANO,N,TÉCNICO,15522,COMPLETA,PANQUEBA,OFICIAL,I.E.T DE PANQUEBA,N,35.0,42.0,35.0,47.0,44.0,207.0
20194,URBANO,N,TÉCNICO,15621,UNICA,RONDÓN,OFICIAL,I.E.T. AGROPECUARIA SAN RAFAEL,N,48.0,54.0,35.0,40.0,42.0,216.0
20194,URBANO,N,TÉCNICO/ACADÉMICO,15087,COMPLETA,BELÉN,OFICIAL,I.E. TECNICA SUSANA GUILLEMIN,N,46.0,56.0,47.0,49.0,42.0,242.0
20162,URBANO,N,TÉCNICO/ACADÉMICO,15646,MAÑANA,SAMACA,OFICIAL,I.E. TECNICA NACIONALIZADA DE SAMACA,N,61.0,54.0,46.0,51.0,45.0,248.0
20162,RURAL,NO REPORTADO,ACADÉMICO,15806,MAÑANA,TIBASOSA,OFICIAL,IE ROBERTO FRANCO IZASA,N,60.0,53.0,59.0,57.0,53.0,280.0
20142,URBANO,N,TÉCNICO,15368,COMPLETA,JERICO,OFICIAL,I.E. LOPEZ QUEVEDO,N,53.0,33.0,52.0,47.0,42.0,221.0
20194,RURAL,NO REPORTADO,TÉCNICO,15646,COMPLETA,SAMACÁ,OFICIAL,I.E. TECNICA LA LIBERTAD,N,41.0,51.0,49.0,50.0,52.0,249.0
20194,URBANO,N,ACADÉMICO,15572,MAÑANA,PUERTO BOYACÁ,OFICIAL,IE SAN PEDRO CLAVER,N,47.0,55.0,33.0,44.0,49.0,227.0
20172,RURAL,N,TÉCNICO/ACADÉMICO,15296,COMPLETA,GAMEZA,OFICIAL,I.E. SAZA,N,35.0,58.0,55.0,60.0,58.0,280.0
20172,URBANO,N,ACADÉMICO,15572,TARDE,PUERTO BOYACA,OFICIAL,IE JOSE ANTONIO GALAN,N,44.0,44.0,42.0,52.0,46.0,229.0
20152,URBANO,N,TÉCNICO/ACADÉMICO,15690,COMPLETA,SANTA MARIA,OFICIAL,I.E. TEC JACINTO VEGA,N,46.0,49.0,40.0,45.0,42.0,221.0
20152,URBANO,N,ACADÉMICO,15176,TARDE,CHIQUINQUIRA,OFICIAL,I.E. JOSE JOAQUIN CASAS,N,63.0,52.0,65.0,66.0,57.0,301.0
20172,URBANO,N,ACADÉMICO,15753,COMPLETA,SOATA,OFICIAL,IE JUAN JOSE RONDON,N,43.0,64.0,56.0,58.0,65.0,297.0
20194,URBANO,N,TÉCNICO/ACADÉMICO,15759,MAÑANA,SOGAMOSO,OFICIAL,INSTITUCION EDUCATIVA POLITECNICO ALVARO GONZALEZ SANTANA,N,56.0,50.0,56.0,56.0,57.0,274.0
20152,URBANO,N,TÉCNICO,15835,COMPLETA,TURMEQUE,OFICIAL,I.E. TECNICA INDUSTRIAL,N,58.0,52.0,53.0,63.0,58.0,283.0
20172,URBANO,N,TÉCNICO/ACADÉMICO,15238,COMPLETA,DUITAMA,OFICIAL,COLEGIO NACIONALIZADO LA PRESENTACION,N,57.0,64.0,45.0,47.0,54.0,264.0
20194,URBANO,N,TÉCNICO/ACADÉMICO,15176,COMPLETA,CHIQUINQUIRÁ,OFICIAL,I.E. TECNICO INDUSTRIAL JULIO FLOREZ,N,40.0,45.0,40.0,38.0,36.0,199.0
20162,RURAL,N,TÉCNICO,15897,COMPLETA,ZETAQUIRA,OFICIAL,IE LIBARDO CUERVO PATARROYO,N,44.0,45.0,32.0,41.0,49.0,209.0
20152,RURAL,N,ACADÉMICO,15632,MAÑANA,SABOYA,OFICIAL,IE SAN ISIDRO,N,49.0,50.0,47.0,51.0,45.0,242.0
20172,URBANO,N,ACADÉMICO,15759,SABATINA,SOGAMOSO,NO OFICIAL,INSTITUCION EDUCATIVA ANTONIO NARIÑO,N,36.0,28.0,37.0,42.0,38.0,181.0
20194,URBANO,N,ACADÉMICO,15238,COMPLETA,DUITAMA,NO OFICIAL,COLEGIO LA PRESENTACIÓN,N,63.0,61.0,62.0,62.0,62.0,309.0
20172,URBANO,N,TÉCNICO/ACADÉMICO,15646,MAÑANA,SAMACA,OFICIAL,I.E. TECNICA NACIONALIZADA DE SAMACA,N,45.0,48.0,48.0,47.0,45.0,234.0
20142,URBANO,N,ACADÉMICO,15572,TARDE,PUERTO BOYACA,OFICIAL,I.E. ANTONIA SANTOS,N,47.0,48.0,58.0,51.0,55.0,263.0
20162,URBANO,N,ACADÉMICO,15759,SABATINA,SOGAMOSO,NO OFICIAL,INSTITUTO POLITECNICO JOSE CELESTINO MUTIS,N,44.0,30.0,35.0,47.0,47.0,201.0
20142,URBANO,N,TÉCNICO/ACADÉMICO,15469,COMPLETA,MONIQUIRA,OFICIAL,I.E. TECNICA ANTONIO NARIÑO,N,51.0,50.0,50.0,56.0,52.0,260.0
20172,RURAL,N,TÉCNICO/ACADÉMICO,15469,UNICA,MONIQUIRA,OFICIAL,I.E. TECNICA ANTONIO NARIÑO,N,46.0,43.0,58.0,55.0,63.0,270.0
20172,URBANO,N,ACADÉMICO,15238,COMPLETA,DUITAMA,NO OFICIAL,COLEGIO LA PRESENTACIÓN,N,61.0,67.0,70.0,59.0,66.0,326.0
20152,URBANO,N,TÉCNICO/ACADÉMICO,15757,COMPLETA,SOCHA,OFICIAL,I.E. TECNICA PEDRO JOSE SARMIENTO,N,46.0,54.0,46.0,50.0,47.0,245.0
20194,URBANO,N,TÉCNICO/ACADÉMICO,15759,MAÑANA,SOGAMOSO,OFICIAL,INSTITUCION EDUCATIVA TECNICO INDUSTRIAL GUSTAVO JIMENEZ,N,54.0,58.0,60.0,57.0,70.0,303.0
20172,RURAL,N,ACADÉMICO,15861,COMPLETA,VENTAQUEMADA,OFICIAL,IE PANAMERICANO PUENTE BOYACA,N,40.0,62.0,53.0,61.0,55.0,282.0
20194,URBANO,N,ACADÉMICO,15001,COMPLETA,TUNJA,OFICIAL,COLEGIO DE BOYACA,N,69.0,66.0,70.0,66.0,72.0,343.0
20172,URBANO,N,TÉCNICO,15537,COMPLETA,PAZ DE RIO,OFICIAL,I.E. TECNICA INDUSTRIAL Y MINERA,N,53.0,64.0,69.0,59.0,62.0,313.0
20172,RURAL,N,TÉCNICO,15814,COMPLETA,TOCA,OFICIAL,I.E. TECNICA RAFAEL URIBE,N,59.0,62.0,64.0,62.0,62.0,311.0
20172,URBANO,N,ACADÉMICO,15296,COMPLETA,GAMEZA,OFICIAL,I.E. JUAN JOSE REYES PATRIA,N,48.0,55.0,55.0,57.0,42.0,260.0
20172,URBANO,N,TÉCNICO/ACADÉMICO,15759,MAÑANA,SOGAMOSO,OFICIAL,INSTITUCION EDUCATIVA COLEGIO DE SUGAMUXI,N,49.0,58.0,63.0,61.0,62.0,300.0
20172,URBANO,N,TÉCNICO,15621,UNICA,RONDON,OFICIAL,I.E.T. AGROPECUARIA SAN RAFAEL,N,38.0,45.0,40.0,41.0,50.0,218.0
20172,URBANO,NO REPORTADO,NO REPORTADO,15455,COMPLETA,MIRAFLORES,NO OFICIAL,LICEO MODERNO SAN SEBASTIAN,N,57.0,51.0,70.0,63.0,64.0,308.0
